name,type,data_type,description,example
pttype,table,string,ตารางนี้เก็บข้อมูลประเภทสิทธิการรักษา (Patient Type) ใช้สำหรับระบุตัวตนและข้อมูลพื้นฐานที่ไม่เปลี่ยนแปลงบ่อย ห้ามใช้ตารางนี้เพียงลำพังหากคำถามเกี่ยวข้องกับการมารับบริการในวันนั้นๆ (Visits) การตรวจรักษา หรือค่าใช้จ่าย ให้ใช้ hn (Hospital Number) เป็น Key หลักในการเชื่อมต่อ (Join) กับตารางอื่นๆ,NULL
pttype,column,string,รหัสประเภทสิทธิการรักษา,71
name,column,string,ชื่อประเภทสิทธิ,(ยกเลิก)เด็ก 0 -  12 ปี ในเขต
editmask,column,string,รูปแบบการแสดงผล/รูปแบบการแก้ไขข้อมูล,UC ในเขต
isuse,column,string,สถานะการใช้งาน,N
pcode,column,string,รหัสสิทธิ (Policy Code),AA
requirecode,column,string,ต้องระบุรหัสอ้างอิงเพิ่มเติมหรือไม่,Y
doctor_fee,column,string,คิดค่าแพทย์หรือไม่,Y
fee_code,column,string,รหัสค่าบริการหลัก,3000976
discount,column,string,ส่วนลดเริ่มต้นของสิทธินี้,NULL
contract,column,string,เลขที่สัญญา,NULL
paidst,column,string,สถานะการคิดเงิน (คิด/ไม่คิด),02
in_region,column,string,ใช้ในเขตพื้นที่หรือไม่,NULL
uc,column,string,เป็นสิทธิ UC หรือไม่,1
require_hcode,column,string,ต้องระบุรหัสสถานพยาบาลคู่สัญญา,Y
oldcode,column,string,รหัสเดิม,NULL
fee_code2,column,string,รหัสค่าบริการรอง,NULL
price_type,column,string,ประเภทการคิดราคา,0
debtor,column,string,รหัสลูกหนี้,Y
noexpire,column,string,ไม่มีวันหมดอายุ,Y
hipdata_code,column,string,รหัสเชื่อมโยง HIPDATA,UCS
min_age,column,string,อายุขั้นต่ำที่ใช้สิทธิได้,NULL
max_age,column,string,อายุสูงสุดที่ใช้สิทธิได้,NULL
bill_sss,column,string,ใช้รูปแบบบิลประกันสังคมหรือไม่,NULL
bill_type,column,string,ประเภทใบเรียกเก็บ,NULL
hipdata_pttype,column,string,รหัสสิทธิในระบบ HIPDATA,71 
use_contract_id,column,string,ใช้รหัสสัญญาเชื่อมโยง,NULL
yearly_charge,column,string,มีการเก็บค่าธรรมเนียมรายปี,NULL
yearly_charge_icode1,column,string,รหัสรายการเรียกเก็บรายปี 1,NULL
yearly_charge_icode2,column,string,รหัสรายการเรียกเก็บรายปี 2,NULL
region_type,column,string,ประเภทเขตพื้นที่,4
pttype_group1,column,string,กลุ่มสิทธิหลัก,02 
pttype_group2,column,string,กลุ่มสิทธิย่อย,NULL
pttype_guid,column,string,GUID ประเภทสิทธิ,NULL
max_debt_money,column,string,วงเงินหนี้สูงสุด,NULL
allow_finance_edit,column,string,อนุญาตให้การเงินแก้ไข,NULL
print_csmb_statement,column,string,พิมพ์ใบแจ้ง CSMBS,NULL
pttype_information,column,string,ข้อมูลเพิ่มเติมเกี่ยวกับสิทธิ,NULL
fee_code_paidst,column,string,สถานะคิดเงินของ fee_code,02
fee_code2_paidst,column,string,สถานะคิดเงินของ fee_code2,NULL
debt_due_day,column,string,จำนวนวันที่ครบกำหนดชำระหนี้,NULL
rx_pay_debit_tr,column,string,ตัดจ่ายค่ายาจากบัญชีลูกหนี้,NULL
separate_rcpno,column,string,แยกเลขใบเสร็จ,NULL
rcp_bookno,column,string,เล่มใบเสร็จ,NULL
separate_debt_id,column,string,แยกเลขหนี้,NULL
admit_fee_code,column,string,รหัสค่าบริการกรณี Admit,NULL
use_package,column,string,ใช้แพ็กเกจการรักษา,NULL
