name,type,data_type,description,Example / Enum
s_drugitems,table,string,ตารางนี้เก็บข้อมูลรายการยาและเวชภัณฑ์ ใช้สำหรับระบุตัวตนและข้อมูลพื้นฐานที่ไม่เปลี่ยนแปลงบ่อย ห้ามใช้ตารางนี้เพียงลำพังหากคำถามเกี่ยวข้องกับการมารับบริการในวันนั้นๆ (Visits) การตรวจรักษา หรือค่าใช้จ่าย ให้ใช้ icode (รหัสยา) เป็น Key หลักในการเชื่อมต่อ (Join) กับตารางอื่นๆ
icode,column,string,รหัสยา / รหัสเวชภัณฑ์,1234567
name,column,string,ชื่อยา (ภาษาไทย),**PETHIDINE Inj
strength,column,string,ความแรงของยา เช่น 500 mg,50 mg/mL
units,column,string,หน่วยนับ เช่น เม็ด,Ampule (1 ml.)
dosageform,column,string,รูปแบบยา เช่น Tablet, Capsule, Injection,INJECTIONS
drugnote,column,string,หมายเหตุเกี่ยวกับยา,ptd
istatus,column,string,สถานะการใช้งาน (เช่น 1=ใช้งาน 0=ยกเลิก),N
paidst,column,string,สถานะการคิดเงิน (เช่น คิดเงิน/ไม่คิดเงิน),N
price_lock,column,string,ล็อกราคาไม่ให้แก้ไข,Y
icode_guid,column,string,รหัส GUID ของรายการยา,0
ename,column,string,ชื่อยา (ภาษาอังกฤษ),pethidine inj. 50 mg/amp(1 ml)
cost,column,string,ต้นทุนยา,8.150
income,column,string,หมวดรายได้ที่ผูกกับยา,03
is_medication,column,string,เป็นยา (1=ใช่ 0=ไม่ใช่),Y
use_paidst,column,string,ใช้สถานะการชำระเงินจากระบบ,Y
oldcode,column,string,รหัสเดิมของยา,


